sample244,197,262,240,219,189,158,134,114,93,68,58
sample243,358,398,357,329,263,226,188,157,125,100,81
sample246,229,250,215,190,163,134,108,93,75,63,50
sample245,254,366,339,311,280,241,203,165,146,117,99
sample247,596,640,527,433,346,254,178,126,96,64,37
sample248,755,810,787,742,706,649,563,495,374,270,194
sample249,873,881,856,823,815,771,744,679,604,520,435
sample250,633,683,644,598,529,451,388,305,235,179,141
sample251,379,479,458,425,386,337,280,242,203,159,136
sample255,35,46,33,24,17,14,13,10,5,4,2
sample256,19,8,4,4,3,3,3,1,0,0,0
sample252,888,931,909,914,885,860,827,802,720,656,557
sample253,159,200,179,164,143,115,99,78,65,50,37
sample254,842,887,873,835,811,771,723,629,566,467,350
sample260,14,21,21,16,14,11,7,6,6,2,1
sample257,43,50,42,38,30,25,19,15,13,7,6
sample259,110,144,137,123,102,88,71,56,49,30,27
sample258,531,581,536,487,436,382,301,234,180,131,96
sample261,910,898,872,860,822,768,719,655,554,455,365
sample263,938,961,946,925,894,852,806,760,704,629,547
sample262,545,564,514,439,394,318,260,193,139,113,86
sample264,682,745,707,657,616,560,503,434,347,273,203
sample265,764,849,820,787,754,705,656,588,492,403,330
sample266,315,376,325,285,258,211,162,141,117,89,72
sample268,335,323,281,232,199,163,130,99,83,56,43
sample267,53,73,65,60,52,43,31,24,16,14,9
sample269,839,866,861,833,803,789,742,686,606,533,442
sample271,19,9,9,8,7,6,4,4,2,0,0
sample270,66,104,103,86,80,69,55,49,47,33,24
sample272,203,283,255,226,194,165,125,106,90,72,56
sample275,16,8,9,8,6,3,4,4,1,2,0
sample273,620,683,627,555,489,413,320,245,184,150,114
sample274,100,117,110,95,85,74,61,53,38,30,27
sample278,17,10,10,7,8,6,4,2,0,0,0
sample277,25,30,28,24,22,19,16,8,8,9,8
sample276,919,933,915,906,878,856,833,775,710,647,555
sample279,106,122,115,98,84,77,64,54,46,41,24
sample281,26,28,26,20,20,13,9,9,4,4,2
sample280,28,39,36,31,26,18,11,11,7,6,5
sample283,7,2,0,0,0,0,0,0,0,0,0
sample282,63,88,87,78,63,49,35,29,20,12,11
sample285,100,119,111,94,85,64,52,36,29,16,15
sample284,235,293,259,208,176,145,117,98,76,56,46
sample286,44,84,82,72,62,61,45,38,33,22,18
sample287,571,671,633,584,524,453,359,279,201,161,118
sample288,204,311,286,258,221,178,146,127,104,76,64
sample290,899,974,976,979,970,972,974,975,968,961,957
sample289,863,967,967,966,964,959,965,964,961,963,962
sample291,692,913,913,912,908,910,908,905,901,897,889
sample292,718,952,952,953,951,958,957,956,953,951,943
sample293,1009,1026,1021,1024,1021,1014,1008,1009,1005,1010,997
sample294,875,979,973,974,970,969,974,967,962,953,954
sample296,1009,1027,1028,1024,1019,1017,1018,1013,1006,1005,999
sample295,804,979,976,975,978,970,969,968,964,960,957
sample297,971,974,949,918,866,817,723,634,507,417,346
sample298,1056,1052,1053,1042,1038,1033,1022,1021,1005,997,985
sample299,704,866,852,853,850,843,839,818,793,772,736
sample301,658,799,789,786,773,756,748,735,732,704,682
sample300,770,852,847,833,818,816,799,777,751,727,709
sample302,753,826,818,824,820,805,799,798,765,763,729
sample303,776,846,840,832,822,809,805,786,757,750,717
